t,lat,lon,el
1687602343.000000,-12.771902,45.288421,21.789000
1687602344.000000,-12.771900,45.288423,21.785000
1687602345.000000,-12.771898,45.288424,21.786000
1687602346.000000,-12.771896,45.288425,21.784000
1687602347.000000,-12.771893,45.288427,21.789000
1687602348.000000,-12.771891,45.288429,21.782000
1687602349.000000,-12.771888,45.288430,21.771000
1687602350.000000,-12.771885,45.288432,21.777000
1687602351.000000,-12.771883,45.288434,21.772000
1687602352.000000,-12.771881,45.288436,21.777000
1687602353.000000,-12.771879,45.288438,21.771000
1687602354.000000,-12.771877,45.288440,21.771000
1687602355.000000,-12.771874,45.288442,21.775000
1687602356.000000,-12.771872,45.288445,21.782000
1687602357.000000,-12.771869,45.288447,21.777000
1687602358.000000,-12.771867,45.288449,21.782000
1687602359.000000,-12.771865,45.288451,21.785000
1687602360.000000,-12.771863,45.288452,21.781000
1687602361.000000,-12.771861,45.288454,21.789000
1687602362.000000,-12.771859,45.288456,21.790000
1687602363.000000,-12.771856,45.288458,21.780000
1687602364.000000,-12.771854,45.288460,21.787000
1687602365.000000,-12.771852,45.288462,21.791000
1687602366.000000,-12.771848,45.288464,21.783000
1687602367.000000,-12.771845,45.288466,21.786000
1687602368.000000,-12.771842,45.288468,21.790000
1687602369.000000,-12.771839,45.288469,21.804000
1687602370.000000,-12.771836,45.288471,21.804000
1687602371.000000,-12.771833,45.288472,21.794000
1687602372.000000,-12.771829,45.288474,21.795000
1687602373.000000,-12.771826,45.288475,21.789000
1687602374.000000,-12.771823,45.288476,21.797000
1687602375.000000,-12.771820,45.288477,21.777000
1687602376.000000,-12.771816,45.288478,21.775000
1687602377.000000,-12.771812,45.288480,21.780000
1687602378.000000,-12.771808,45.288481,21.784000
1687602379.000000,-12.771804,45.288482,21.786000
1687602380.000000,-12.771800,45.288483,21.787000
1687602381.000000,-12.771797,45.288484,21.783000
1687602382.000000,-12.771793,45.288484,21.787000
1687602383.000000,-12.771789,45.288485,21.782000
1687602384.000000,-12.771786,45.288486,21.775000
1687602385.000000,-12.771782,45.288487,21.786000
1687602386.000000,-12.771779,45.288487,21.782000
1687602387.000000,-12.771775,45.288488,21.788000
1687602388.000000,-12.771771,45.288489,21.785000
1687602389.000000,-12.771767,45.288490,21.788000
1687602390.000000,-12.771763,45.288490,21.791000
1687602391.000000,-12.771760,45.288491,21.804000
1687602392.000000,-12.771756,45.288492,21.803000
1687602393.000000,-12.771752,45.288492,21.804000
1687602394.000000,-12.771748,45.288493,21.790000
1687602395.000000,-12.771744,45.288493,21.794000
1687602396.000000,-12.771739,45.288494,21.784000
1687602397.000000,-12.771735,45.288495,21.797000
1687602398.000000,-12.771731,45.288495,21.796000
1687602399.000000,-12.771727,45.288495,21.803000
1687602400.000000,-12.771723,45.288495,21.792000
1687602401.000000,-12.771718,45.288496,21.794000
1687602402.000000,-12.771714,45.288496,21.793000
1687602403.000000,-12.771710,45.288495,21.794000
1687602404.000000,-12.771706,45.288495,21.782000
1687602405.000000,-12.771702,45.288495,21.791000
1687602406.000000,-12.771698,45.288494,21.786000
1687602407.000000,-12.771694,45.288495,21.791000
1687602408.000000,-12.771691,45.288494,21.795000
1687602409.000000,-12.771687,45.288494,21.784000
1687602410.000000,-12.771683,45.288495,21.789000
1687602411.000000,-12.771679,45.288495,21.784000
1687602412.000000,-12.771676,45.288496,21.782000
1687602413.000000,-12.771673,45.288497,21.797000
1687602414.000000,-12.771669,45.288498,21.780000
1687602415.000000,-12.771665,45.288500,21.786000
1687602416.000000,-12.771660,45.288502,21.786000
1687602417.000000,-12.771656,45.288504,21.774000
1687602418.000000,-12.771652,45.288506,21.788000
1687602419.000000,-12.771647,45.288508,21.780000
1687602420.000000,-12.771643,45.288510,21.773000
1687602421.000000,-12.771639,45.288512,21.774000
1687602422.000000,-12.771635,45.288514,21.780000
1687602423.000000,-12.771631,45.288516,21.778000
1687602424.000000,-12.771627,45.288517,21.785000
1687602425.000000,-12.771623,45.288519,21.774000
1687602426.000000,-12.771619,45.288521,21.767000
1687602427.000000,-12.771614,45.288523,21.772000
1687602428.000000,-12.771610,45.288524,21.778000
1687602429.000000,-12.771605,45.288526,21.785000
1687602430.000000,-12.771601,45.288527,21.773000
1687602431.000000,-12.771596,45.288529,21.779000
1687602432.000000,-12.771591,45.288530,21.775000
1687602433.000000,-12.771587,45.288531,21.780000
1687602434.000000,-12.771582,45.288531,21.778000
1687602435.000000,-12.771577,45.288532,21.779000
1687602436.000000,-12.771571,45.288533,21.788000
1687602437.000000,-12.771566,45.288533,21.778000
1687602438.000000,-12.771560,45.288533,21.775000
1687602439.000000,-12.771555,45.288534,21.770000
1687602440.000000,-12.771550,45.288534,21.781000
1687602441.000000,-12.771545,45.288533,21.760000
1687602442.000000,-12.771540,45.288532,21.762000
1687602443.000000,-12.771535,45.288531,21.773000
1687602444.000000,-12.771531,45.288530,21.761000
1687602445.000000,-12.771526,45.288529,21.757000
1687602446.000000,-12.771522,45.288528,21.778000
1687602447.000000,-12.771518,45.288526,21.780000
1687602448.000000,-12.771514,45.288525,21.774000
1687602449.000000,-12.771510,45.288523,21.779000
1687602450.000000,-12.771506,45.288521,21.775000
1687602451.000000,-12.771502,45.288519,21.761000
1687602452.000000,-12.771498,45.288517,21.769000
1687602453.000000,-12.771492,45.288514,21.768000
1687602454.000000,-12.771488,45.288512,21.769000
1687602455.000000,-12.771482,45.288509,21.761000
1687602456.000000,-12.771477,45.288505,21.756000
1687602457.000000,-12.771473,45.288502,21.758000
1687602458.000000,-12.771468,45.288499,21.760000
1687602459.000000,-12.771464,45.288495,21.763000
1687602460.000000,-12.771461,45.288491,21.763000
1687602461.000000,-12.771457,45.288487,21.764000
1687602462.000000,-12.771454,45.288482,21.757000
1687602463.000000,-12.771452,45.288477,21.768000
1687602464.000000,-12.771449,45.288473,21.776000
1687602465.000000,-12.771447,45.288468,21.769000
1687602466.000000,-12.771445,45.288463,21.769000
1687602467.000000,-12.771443,45.288459,21.768000
1687602468.000000,-12.771440,45.288454,21.770000
1687602469.000000,-12.771438,45.288450,21.773000
1687602470.000000,-12.771436,45.288446,21.762000
1687602471.000000,-12.771434,45.288442,21.772000
1687602472.000000,-12.771431,45.288439,21.770000
1687602473.000000,-12.771429,45.288435,21.768000
1687602474.000000,-12.771427,45.288432,21.766000
1687602475.000000,-12.771425,45.288429,21.767000
1687602476.000000,-12.771423,45.288427,21.769000
1687602477.000000,-12.771421,45.288424,21.762000
1687602478.000000,-12.771419,45.288422,21.761000
1687602479.000000,-12.771417,45.288419,21.762000
1687602480.000000,-12.771414,45.288417,21.762000
1687602481.000000,-12.771412,45.288415,21.754000
1687602482.000000,-12.771410,45.288413,21.758000
1687602483.000000,-12.771408,45.288411,21.757000
1687602484.000000,-12.771406,45.288409,21.766000
1687602485.000000,-12.771404,45.288407,21.760000
1687602486.000000,-12.771401,45.288405,21.769000
1687602487.000000,-12.771399,45.288403,21.761000
1687602488.000000,-12.771396,45.288401,21.760000
1687602489.000000,-12.771394,45.288399,21.767000
1687602490.000000,-12.771391,45.288398,21.768000
1687602491.000000,-12.771388,45.288396,21.768000
1687602492.000000,-12.771386,45.288394,21.781000
1687602493.000000,-12.771383,45.288393,21.760000
1687602494.000000,-12.771380,45.288391,21.764000
1687602495.000000,-12.771377,45.288390,21.757000
1687602496.000000,-12.771374,45.288389,21.764000
1687602497.000000,-12.771372,45.288387,21.752000
1687602498.000000,-12.771369,45.288386,21.764000
1687602499.000000,-12.771366,45.288384,21.762000
1687602500.000000,-12.771363,45.288383,21.758000
1687602501.000000,-12.771360,45.288382,21.752000
1687602502.000000,-12.771357,45.288380,21.756000
1687602503.000000,-12.771354,45.288379,21.771000
1687602504.000000,-12.771351,45.288379,21.761000
1687602505.000000,-12.771349,45.288378,21.764000
1687602506.000000,-12.771346,45.288377,21.767000
1687602507.000000,-12.771343,45.288377,21.767000
1687602508.000000,-12.771340,45.288377,21.767000
1687602509.000000,-12.771337,45.288376,21.782000
1687602510.000000,-12.771334,45.288376,21.779000
1687602511.000000,-12.771331,45.288376,21.777000
1687602512.000000,-12.771327,45.288376,21.781000
1687602513.000000,-12.771324,45.288376,21.762000
1687602514.000000,-12.771321,45.288377,21.756000
1687602515.000000,-12.771317,45.288377,21.769000
1687602516.000000,-12.771313,45.288378,21.759000
1687602517.000000,-12.771309,45.288379,21.769000
1687602518.000000,-12.771306,45.288379,21.770000
1687602519.000000,-12.771302,45.288379,21.765000
1687602520.000000,-12.771298,45.288380,21.785000
1687602521.000000,-12.771294,45.288381,21.777000
1687602522.000000,-12.771290,45.288382,21.777000
1687602523.000000,-12.771286,45.288383,21.754000
1687602524.000000,-12.771282,45.288384,21.755000
1687602525.000000,-12.771277,45.288385,21.764000
1687602526.000000,-12.771273,45.288386,21.771000
1687602527.000000,-12.771268,45.288388,21.771000
1687602528.000000,-12.771263,45.288389,21.761000
1687602529.000000,-12.771258,45.288391,21.756000
1687602530.000000,-12.771253,45.288393,21.773000
1687602531.000000,-12.771248,45.288394,21.755000
1687602532.000000,-12.771244,45.288396,21.773000
1687602533.000000,-12.771239,45.288397,21.774000
1687602534.000000,-12.771235,45.288397,21.773000
1687602535.000000,-12.771231,45.288398,21.775000
1687602536.000000,-12.771226,45.288399,21.774000
1687602537.000000,-12.771222,45.288399,21.773000
1687602538.000000,-12.771218,45.288400,21.785000
1687602539.000000,-12.771213,45.288400,21.762000
1687602540.000000,-12.771208,45.288400,21.767000
1687602541.000000,-12.771203,45.288400,21.760000
1687602542.000000,-12.771199,45.288400,21.761000
1687602543.000000,-12.771194,45.288399,21.767000
1687602544.000000,-12.771190,45.288399,21.774000
1687602545.000000,-12.771186,45.288399,21.779000
1687602546.000000,-12.771181,45.288398,21.766000
1687602547.000000,-12.771177,45.288397,21.785000
1687602548.000000,-12.771173,45.288396,21.766000
1687602549.000000,-12.771168,45.288394,21.765000
1687602550.000000,-12.771164,45.288393,21.772000
1687602551.000000,-12.771160,45.288391,21.779000
1687602552.000000,-12.771156,45.288389,21.770000
1687602553.000000,-12.771151,45.288388,21.792000
1687602554.000000,-12.771147,45.288386,21.778000
1687602555.000000,-12.771142,45.288384,21.765000
1687602556.000000,-12.771137,45.288382,21.780000
1687602557.000000,-12.771132,45.288381,21.774000
1687602558.000000,-12.771126,45.288379,21.764000
1687602559.000000,-12.771121,45.288378,21.765000
1687602560.000000,-12.771116,45.288377,21.766000
1687602561.000000,-12.771111,45.288377,21.764000
1687602562.000000,-12.771106,45.288377,21.775000
1687602563.000000,-12.771102,45.288376,21.773000
1687602564.000000,-12.771097,45.288377,21.773000
1687602565.000000,-12.771093,45.288377,21.779000
1687602566.000000,-12.771088,45.288377,21.775000
1687602567.000000,-12.771084,45.288378,21.768000
1687602568.000000,-12.771079,45.288378,21.776000
1687602569.000000,-12.771075,45.288379,21.766000
1687602570.000000,-12.771070,45.288380,21.774000
1687602571.000000,-12.771065,45.288380,21.764000
1687602572.000000,-12.771060,45.288381,21.769000
1687602573.000000,-12.771056,45.288382,21.779000
1687602574.000000,-12.771051,45.288383,21.778000
1687602575.000000,-12.771045,45.288384,21.767000
1687602576.000000,-12.771040,45.288386,21.765000
1687602577.000000,-12.771034,45.288387,21.763000
1687602578.000000,-12.771028,45.288388,21.764000
1687602579.000000,-12.771022,45.288389,21.761000
1687602580.000000,-12.771016,45.288390,21.758000
1687602581.000000,-12.771010,45.288391,21.762000
