t,d
1687686857.479702,2.870000
1687686857.479702,2.870000
1687686858.038068,2.860000
1687686858.038068,2.860000
1687686858.038068,2.860000
1687686858.595265,2.870000
1687686858.595265,2.870000
1687686858.595265,2.870000
1687686859.153445,2.940000
1687686859.153445,2.940000
1687686859.153445,2.940000
1687686859.71059,2.920000
1687686859.71059,2.920000
1687686859.71059,2.920000
1687686860.268941,2.930000
1687686860.268941,2.930000
1687686860.268941,2.930000
1687686860.825947,2.950000
1687686860.825947,2.950000
1687686860.825947,2.950000
1687686861.384325,3.010000
1687686861.384325,3.010000
1687686861.384325,3.010000
1687686861.941437,3.010000
1687686861.941437,3.010000
1687686861.941437,3.010000
1687686862.499696,3.030000
1687686862.499696,3.030000
1687686862.499696,3.030000
1687686863.056836,3.080000
1687686863.056836,3.080000
1687686863.056836,3.080000
1687686863.615256,3.130000
1687686863.615256,3.130000
1687686863.615256,3.130000
1687686864.172203,3.120000
1687686864.172203,3.120000
1687686864.172203,3.120000
1687686864.730639,3.130000
1687686864.730639,3.130000
1687686864.730639,3.130000
1687686865.287707,3.180000
1687686865.287707,3.180000
1687686865.287707,3.180000
1687686865.845955,3.180000
1687686865.845955,3.180000
1687686865.845955,3.180000
1687686866.403124,3.180000
1687686866.403124,3.180000
1687686866.403124,3.180000
1687686866.96146,3.150000
1687686866.96146,3.150000
1687686866.96146,3.150000
1687686867.518498,3.180000
1687686867.518498,3.180000
1687686867.518498,3.180000
1687686868.076803,3.170000
1687686868.076803,3.170000
1687686868.076803,3.170000
1687686868.633964,3.130000
1687686868.633964,3.130000
1687686868.633964,3.130000
1687686869.192174,3.170000
1687686869.192174,3.170000
1687686869.192174,3.170000
1687686869.749336,3.180000
1687686869.749336,3.180000
1687686869.749336,3.180000
1687686870.307683,3.200000
1687686870.307683,3.200000
1687686870.307683,3.200000
1687686870.864681,3.200000
1687686870.864681,3.200000
1687686870.864681,3.200000
1687686871.423117,3.170000
1687686871.423117,3.170000
1687686871.423117,3.170000
1687686871.980182,3.200000
1687686871.980182,3.200000
1687686871.980182,3.200000
1687686872.538451,3.250000
1687686872.538451,3.250000
1687686872.538451,3.250000
1687686873.095556,3.240000
1687686873.095556,3.240000
1687686873.095556,3.240000
1687686873.653957,3.250000
1687686873.653957,3.250000
1687686873.653957,3.250000
1687686874.210938,3.260000
1687686874.210938,3.260000
1687686874.210938,3.260000
1687686874.769319,3.310000
1687686874.769319,3.310000
1687686874.769319,3.310000
1687686875.326445,3.270000
1687686875.326445,3.270000
